name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jakarta, Indonesia",2020-11-15,93.7,78.8,85.4,102.9,78.8,92.2,73.8,69.1,0.002,100,4.17,rain,0,0,25.3,17.2,73.5,1009.1,48.4,3.9,250.9,21.5,9,,2020-11-15T05:25:27,2020-11-15T17:49:13,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-11-16,91.9,78.8,84.8,100.9,78.8,91.9,74.7,72.4,0.001,100,4.17,rain,0,0,30.0,13.9,97.8,1008.9,49.4,3.8,226.3,19.6,8,,2020-11-16T05:25:31,2020-11-16T17:49:31,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-11-17,90.3,76.9,83.7,102.9,76.9,90.4,75.0,75.7,0.004,100,4.17,rain,0,0,17.0,11.2,309.8,1008.1,51.1,3.3,197.6,17.1,7,,2020-11-17T05:25:35,2020-11-17T17:49:50,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-11-18,90.3,77.0,83.7,101.7,77.0,89.5,73.9,73.1,0.002,100,8.33,rain,0,0,16.1,10.1,157.4,1007.6,53.7,3.6,238.8,20.5,9,,2020-11-18T05:25:40,2020-11-18T17:50:10,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-11-19,92.7,77.0,84.7,104.8,77.0,91.6,74.5,72.8,0.0,0,0.0,,0,0,19.7,18.6,57.5,1007.9,48.7,3.5,261.1,22.7,10,,2020-11-19T05:25:46,2020-11-19T17:50:31,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-11-20,90.1,78.8,84.1,106.3,78.8,91.9,75.5,76.2,0.003,100,4.17,rain,0,0,15.0,12.1,92.5,1008.3,55.0,3.8,239.5,20.8,9,,2020-11-20T05:25:54,2020-11-20T17:50:52,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2020-11-21,90.1,75.2,83.1,101.3,75.2,89.0,74.5,76.5,0.0,0,0.0,,0,0,16.1,12.8,353.9,1008.3,46.7,3.7,231.9,20.0,7,,2020-11-21T05:26:02,2020-11-21T17:51:14,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-11-22,87.6,75.7,82.2,98.2,75.7,87.7,74.8,79.1,0.001,100,4.17,rain,0,0,12.8,8.2,262.5,1009.4,51.8,3.4,176.4,15.3,6,,2020-11-22T05:26:11,2020-11-22T17:51:36,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-11-23,87.8,77.0,81.1,97.2,77.0,85.3,74.5,80.7,0.049,100,16.67,rain,0,0,23.0,10.9,258.9,1009.7,60.7,3.4,165.6,14.3,6,,2020-11-23T05:26:21,2020-11-23T17:51:59,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-11-24,92.7,76.5,82.3,102.0,76.5,85.9,73.6,76.6,0.647,100,12.5,rain,0,0,26.4,15.5,211.3,1008.9,57.4,3.7,220.9,19.3,7,,2020-11-24T05:26:32,2020-11-24T17:52:23,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
